row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
45, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452847,SRR2859135,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_18_1
46, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452934,SRR2859136,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:C_19_1
47, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452840,SRR2859137,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_2_1
48, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452848,SRR2859138,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_20_1
49, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452935,SRR2859139,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:C_21_1
50, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452849,SRR2859140,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_22_1
51, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452936,SRR2859141,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:C_23_1
52, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452850,SRR2859142,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_24_1
53, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452926,SRR2859143,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:C_3_1
54, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452927,SRR2859144,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:C_5_1
55, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452841,SRR2859145,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_6_1
56, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452928,SRR2859146,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:C_7_1
57, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452842,SRR2859147,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_8_1
58, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452929,SRR2859148,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:C_9_1
59, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452761,SRR2859149,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_1_1
60, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452766,SRR2859150,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_11_1
61, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452767,SRR2859151,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_13_1
62, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452768,SRR2859152,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_17_1
63, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452769,SRR2859153,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_19_1
64, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452770,SRR2859154,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_21_1
65, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452771,SRR2859155,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_23_1
66, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452762,SRR2859156,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_3_1
67, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452763,SRR2859157,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_5_1
68, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452764,SRR2859158,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_7_1
69, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452765,SRR2859159,Machado:Bowdoin:Maine:North_America:Oct:01:2011:D_9_1
70, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452937,SRR2859160,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_1_1
71, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452855,SRR2859161,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_10_1
72, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452941,SRR2859162,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_11_1
73, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452856,SRR2859163,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_12_1
74, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452942,SRR2859164,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_13_1
75, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452857,SRR2859165,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_14_1
76, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452943,SRR2859166,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_15_1
77, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452858,SRR2859167,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_16_1
78, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452944,SRR2859168,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_17_1
79, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452851,SRR2859170,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_2_1
80, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452860,SRR2859171,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_20_1
81, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452946,SRR2859172,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_21_1
82, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452861,SRR2859173,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_22_1
83, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452947,SRR2859174,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_23_1
84, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452862,SRR2859175,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_24_1
85, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452852,SRR2859177,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_4_1
86, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452853,SRR2859178,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_6_1
87, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452939,SRR2859179,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_7_1
88, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,01,SAMN03452854,SRR2859180,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_8_1
89, Machado,Drosophila_simulans,50,I,North_America,USA,Virginia,Charlottesville,38,-78.47,2010,Sep,01,SAMN03452940,SRR2859181,Machado:Charlottesville:Virginia:North_America:Sep:01:2010:E_9_1
90, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452772,SRR2859182,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_1_1
91, Machado,Drosophila_simulans,38,I,North_America,USA,Maine,Bowdoin,44,-69.96,2011,Oct,01,SAMN03452777,SRR2859183,Machado:Bowdoin:Maine:North_America:Oct:01:2011:F_13_1
