pop1,pop2,nei
ES_Gim_14_35,IT_Mez_15_43,0.133931789343343
ES_Gim_14_35,IT_Mez_15_44,0.10964340192355
ES_Gim_14_35,IT_Tre_16_15,0.145573804947556
ES_Gim_14_35,Machado:Linvilla:Pennsylania:North_America:Jul:01:2010:ECsimPA7_2010_pool_of_65_individuals,0.126251562240243
ES_Gim_14_35,Machado:Linvilla:Pennsylania:North_America:Sep:01:2010:ECsimPA9_2010_pool_of_50_individuals,0.121941896037655
ES_Gim_14_35,PT_Rec_15_16,0.109676298814094
ES_Gim_14_35,Sedghifar:Conway:South_Carolina:North_America:Sep:NA:2011:D._sim_South_Carolina,0.2494880119156
ES_Gim_14_35,Sedghifar:Fairfield:Maine:North_America:Sep:NA:2011:D._sim_Maine,0.19588977074973
ES_Gim_14_35,Sedghifar:Miami:Florida:North_America:Sep:NA:2011:Florida,0.208717476884422
ES_Gim_14_35,Sedghifar:Panama_City:Panama:North_America:Jan:NA:2012:D._sim_Panama,0.18756012510483
ES_Gim_14_35,Sedghifar:Princeton:New_Jersey:North_America:Sep:NA:2011:D._sim_New_Jersey,0.180764143593898
ES_Gim_14_35,Sedghifar:Providence:Rhode_Island:North_America:Sep:NA:2011:D.sim_Rhode_Island,0.157037618497652
ES_Gim_14_35,Sedghifar:Raleigh:North_Carolina:North_America:Sep:NA:2011:D._sim_North_Carolina,0.182740296544761
ES_Gim_14_35,Sedghifar:Richmod:Virginia:North_America:Sep:NA:2011:D._sim_Virginia,0.18287580281193
ES_Gim_14_35,Sedghifar:Savannah:Georgia:North_America:Sep:NA:2011:D._sim_Georgia,0.201054024858032
ES_Gim_14_35,Kenya.Nairobi.2006.NA,0.228868380180814
ES_Gim_14_35,Madagascar.Joffreville.2002.NA,0.217305530253911
ES_Gim_14_35,Israel.NFS.2014.Oct,0.159606972559575
ES_Gim_14_35,Israel.SFS.2014.Oct,0.153150374195805
ES_Gim_14_35,USA.Linvilla.2011.Aug,0.367341505082023
ES_Gim_14_35,USA.Linvilla.2011.Sep,0.318854794883077
ES_Gim_14_35,USA.Charlottesville.2010.Sep,0.289301975128177
ES_Gim_14_35,USA.Bowdoin.2011.Oct,0.221471385686614
ES_Gim_14_35,USA.Homestead.2011.May,0.331713802177712
ES_Gim_14_35,USA.Linvilla.2011.Nov,0.396801910717511
ES_Gim_14_35,USA.Zuma.2012.Feb,0.121883927076977
ES_Gim_16_33,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1,0.113418686622948
ES_Gim_16_33,ES_Gim_14_34,0.119023398404856
ES_Gim_16_33,ES_Gim_14_35,0.120573009145866
ES_Gim_16_33,ES_Gim_16_33,0
ES_Gim_16_33,ES_Pur_16_35,0.117248087166747
ES_Gim_16_33,FR_Got_15_48,0.156445788301062
ES_Gim_16_33,IT_Mez_15_43,0.104237168229886
ES_Gim_16_33,IT_Mez_15_44,0.0808280304799037
ES_Gim_16_33,IT_Tre_16_15,0.12224839871748
ES_Gim_16_33,Machado:Linvilla:Pennsylania:North_America:Jul:01:2010:ECsimPA7_2010_pool_of_65_individuals,0.0961418840102048
ES_Gim_16_33,Machado:Linvilla:Pennsylania:North_America:Sep:01:2010:ECsimPA9_2010_pool_of_50_individuals,0.0914171181567009
ES_Gim_16_33,PT_Rec_15_16,0.0795190069960432
ES_Gim_16_33,Sedghifar:Conway:South_Carolina:North_America:Sep:NA:2011:D._sim_South_Carolina,0.227849953741832
ES_Gim_16_33,Sedghifar:Fairfield:Maine:North_America:Sep:NA:2011:D._sim_Maine,0.172793585166405
ES_Gim_16_33,Sedghifar:Miami:Florida:North_America:Sep:NA:2011:Florida,0.175534157291
ES_Gim_16_33,Sedghifar:Panama_City:Panama:North_America:Jan:NA:2012:D._sim_Panama,0.166813588393348
ES_Gim_16_33,Sedghifar:Princeton:New_Jersey:North_America:Sep:NA:2011:D._sim_New_Jersey,0.159802278259553
ES_Gim_16_33,Sedghifar:Providence:Rhode_Island:North_America:Sep:NA:2011:D.sim_Rhode_Island,0.124413890161188
ES_Gim_16_33,Sedghifar:Raleigh:North_Carolina:North_America:Sep:NA:2011:D._sim_North_Carolina,0.161378911671973
ES_Gim_16_33,Sedghifar:Richmod:Virginia:North_America:Sep:NA:2011:D._sim_Virginia,0.160750679495588
ES_Gim_16_33,Sedghifar:Savannah:Georgia:North_America:Sep:NA:2011:D._sim_Georgia,0.176041923352756
ES_Gim_16_33,Kenya.Nairobi.2006.NA,0.195717640424543
ES_Gim_16_33,Madagascar.Joffreville.2002.NA,0.183932207110214
ES_Gim_16_33,Israel.NFS.2014.Oct,0.128686054638801
ES_Gim_16_33,Israel.SFS.2014.Oct,0.121817214449305
ES_Gim_16_33,USA.Linvilla.2011.Aug,0.345884512023853
ES_Gim_16_33,USA.Linvilla.2011.Sep,0.298787812204154
ES_Gim_16_33,USA.Charlottesville.2010.Sep,0.265402872595442
ES_Gim_16_33,USA.Bowdoin.2011.Oct,0.192819069089578
ES_Gim_16_33,USA.Homestead.2011.May,0.305414615827549
ES_Gim_16_33,USA.Linvilla.2011.Nov,0.379491724835364
ES_Gim_16_33,USA.Zuma.2012.Feb,0.0929469705900558
ES_Pur_16_35,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1,0.145893074643072
ES_Pur_16_35,ES_Gim_14_34,0.132504014104465
ES_Pur_16_35,ES_Gim_14_35,0.132978490911897
ES_Pur_16_35,ES_Gim_16_33,0.117248087166747
ES_Pur_16_35,ES_Pur_16_35,0
ES_Pur_16_35,FR_Got_15_48,0.165020263672717
ES_Pur_16_35,IT_Mez_15_43,0.124540449332372
ES_Pur_16_35,IT_Mez_15_44,0.103988105584717
ES_Pur_16_35,IT_Tre_16_15,0.123369320508948
ES_Pur_16_35,Machado:Linvilla:Pennsylania:North_America:Jul:01:2010:ECsimPA7_2010_pool_of_65_individuals,0.126620283449694
ES_Pur_16_35,Machado:Linvilla:Pennsylania:North_America:Sep:01:2010:ECsimPA9_2010_pool_of_50_individuals,0.122370811332915
ES_Pur_16_35,PT_Rec_15_16,0.101661521508649
ES_Pur_16_35,Sedghifar:Conway:South_Carolina:North_America:Sep:NA:2011:D._sim_South_Carolina,0.259121084114355
ES_Pur_16_35,Sedghifar:Fairfield:Maine:North_America:Sep:NA:2011:D._sim_Maine,0.203402013403877
ES_Pur_16_35,Sedghifar:Miami:Florida:North_America:Sep:NA:2011:Florida,0.206481917606989
ES_Pur_16_35,Sedghifar:Panama_City:Panama:North_America:Jan:NA:2012:D._sim_Panama,0.195028319754058
ES_Pur_16_35,Sedghifar:Princeton:New_Jersey:North_America:Sep:NA:2011:D._sim_New_Jersey,0.189280570519283
ES_Pur_16_35,Sedghifar:Providence:Rhode_Island:North_America:Sep:NA:2011:D.sim_Rhode_Island,0.15468394896176
ES_Pur_16_35,Sedghifar:Raleigh:North_Carolina:North_America:Sep:NA:2011:D._sim_North_Carolina,0.19370482610592
ES_Pur_16_35,Sedghifar:Richmod:Virginia:North_America:Sep:NA:2011:D._sim_Virginia,0.191698011135845
ES_Pur_16_35,Sedghifar:Savannah:Georgia:North_America:Sep:NA:2011:D._sim_Georgia,0.199985190764753
ES_Pur_16_35,Kenya.Nairobi.2006.NA,0.228873080719699
ES_Pur_16_35,Madagascar.Joffreville.2002.NA,0.216593537884108
ES_Pur_16_35,Israel.NFS.2014.Oct,0.158434957778795
ES_Pur_16_35,Israel.SFS.2014.Oct,0.151514803046568
ES_Pur_16_35,USA.Linvilla.2011.Aug,0.429693586232184
ES_Pur_16_35,USA.Linvilla.2011.Sep,0.384764764968487
ES_Pur_16_35,USA.Charlottesville.2010.Sep,0.333657186713569
ES_Pur_16_35,USA.Bowdoin.2011.Oct,0.231356804258936
ES_Pur_16_35,USA.Homestead.2011.May,0.358744047076184
ES_Pur_16_35,USA.Linvilla.2011.Nov,0.473192396473076
ES_Pur_16_35,USA.Zuma.2012.Feb,0.118924537605083
FR_Got_15_48,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1,0.175300783801767
FR_Got_15_48,ES_Gim_14_34,0.183201997221047
FR_Got_15_48,ES_Gim_14_35,0.183196664947386
FR_Got_15_48,ES_Gim_16_33,0.156445788301062
FR_Got_15_48,ES_Pur_16_35,0.165020263672717
FR_Got_15_48,FR_Got_15_48,0
FR_Got_15_48,IT_Mez_15_43,0.156418853542244
FR_Got_15_48,IT_Mez_15_44,0.135492761023629
FR_Got_15_48,IT_Tre_16_15,0.180686124930511
